time	x	y	z	Vx	Vy	Vz
755145036.0000000000000000	-816474.2819724157452583	-2826166.6449112719856203	6046090.5886917579919100	-4051.8576946707262323	-5704.1141236894527538	-3204.8214087642227241
755145046.0000000000000000	-856938.6778817878803238	-2883022.0690783895552158	6013647.2603108994662762	-4040.9333849469112465	-5666.8468223864429092	-3283.7738374614486929
755145056.0000000000000000	-897291.1899413703940809	-2939501.1116047524847090	5980416.5377151397988200	-4029.4811619487445569	-5628.8386028814838937	-3362.2985388432998661
755145066.0000000000000000	-937526.5462491896469146	-2995596.3876894242130220	5946402.7494774078950286	-4017.5024831866717250	-5590.0943574226530473	-3440.3852617918869328
755145076.0000000000000000	-977639.4898188662482426	-3051300.5619340250268579	5911610.3264145022258162	-4004.9988742479663415	-5550.6190741853633881	-3518.0238088703285939
755145086.0000000000000000	-1017624.7792597366496921	-3106606.3492993493564427	5876043.8010437181219459	-3991.9719286660838407	-5510.4178367391641586	-3595.2040376342310992
755145096.0000000000000000	-1057477.1894556283950806	-3161506.5160565902478993	5839707.8070263769477606	-3978.4233077820349536	-5469.4958235023232191	-3671.9158619408995037
755145106.0000000000000000	-1097191.5122422091662884	-3215993.8807330485433340	5802607.0785982729867101	-3964.3547405977160452	-5427.8583071841148922	-3748.1492532561287589
755145116.0000000000000000	-1136762.5570828285999596	-3270061.3150522029027343	5764746.4499870631843805	-3949.7680236211217562	-5385.5106542147404980	-3823.8942419584209347
755145126.0000000000000000	-1176185.1517427710350603	-3323701.7448680158704519	5726130.8548166332766414	-3934.6650207033708284	-5342.4583241627969983	-3899.1409186404653155
755145136.0000000000000000	-1215454.1429618375841528	-3376908.1510933549143374	5686765.3254984589293599	-3919.0476628674778112	-5298.7068691402346303	-3973.8794354077108437
755145146.0000000000000000	-1254564.3971251745242625	-3429673.5706223961897194	5646654.9926099982112646	-3902.9179481288006173	-5254.2619331947234969	-4048.1000071738644692
755145156.0000000000000000	-1293510.8009322637226433	-3481991.0972468927502632	5605805.0842601442709565	-3886.2779413070961709	-5209.1292516893608990	-4121.7929129531294166
755145166.0000000000000000	-1332288.2620639917440712	-3533853.8825661726295948	5564220.9254417754709721	-3869.1297738301136633	-5163.3146506696557481	-4194.9484971490064709
755145176.0000000000000000	-1370891.7098477121908218	-3585255.1368907461874187	5521907.9373714318498969	-3851.4756435286653868	-5116.8240462177273002	-4267.5571708394618327
755145186.0000000000000000	-1409316.0959202165249735	-3636188.1301393886096776	5478871.6368161607533693	-3833.3178144230992075	-5069.6634437936518225	-4339.6094130582741855
755145196.0000000000000000	-1447556.3948885246645659	-3686646.1927295727655292	5435117.6354075688868761	-3814.6586165011190133	-5021.8389375639080754	-4411.0957720723563398
755145206.0000000000000000	-1485607.6049884120002389	-3736622.7164611225016415	5390651.6389431217685342	-3795.5004454868790162	-4973.3567097168570399	-4482.0068666548459078
755145216.0000000000000000	-1523464.7487405829597265	-3786111.1553929527290165	5345479.4466747334226966	-3775.8457626012959736	-4924.2230297652095032	-4552.3333873537594627
755145226.0000000000000000	-1561122.8736044031102210	-3835105.0267127719707787	5299606.9505846956744790	-3755.6970943135156631	-4874.4442538354351200	-4622.0660977559891762
755145236.0000000000000000	-1598577.0526291013229638	-3883597.9115996127948165	5253040.1346489889547229	-3735.0570320834740414	-4824.0268239440629259	-4691.1958357464254732
755145246.0000000000000000	-1635822.3851023535244167	-3931583.4560790583491325	5205785.0740880267694592	-3713.9282320954948773	-4772.9772672608360153	-4759.7135147619783311
755145256.0000000000000000	-1672853.9971961574628949	-3979055.3718710355460644	5157847.9346048887819052	-3692.3134149828674708	-4721.3021953586821837	-4827.6101250402689402
755145266.0000000000000000	-1709667.0426099065225571	-4026007.4372300421819091	5109234.9716110927984118	-3670.2153655433485255	-4669.0083034504677926	-4894.8767348627552565
755145276.0000000000000000	-1746256.7032105745747685	-4072433.4977776738815010	5059952.5294399634003639	-3647.6369324455372407	-4616.1023696125066635	-4961.5044917920522494
755145286.0000000000000000	-1782618.1896699178032577	-4118327.4673273223452270	5010007.0405476624146104	-3624.5810279260704192	-4562.5912539947976256	-5027.4846239032049198
755145296.0000000000000000	-1818746.7420986026991159	-4163683.3287009065970778	4959405.0247019315138459	-3601.0506274775907514	-4508.4818980179734353	-5092.8084410086630669
755145306.0000000000000000	-1854637.6306771673262119	-4208495.1345375096425414	4908153.0881586205214262	-3577.0487695274409816	-4453.7813235569419703	-5157.4673358767058744
755145316.0000000000000000	-1890286.1562837229575962	-4252757.0080937827005982	4856257.9228260666131973	-3552.5785551070389374	-4398.4966321112160585	-5221.4527854430625666
755145326.0000000000000000	-1925687.6511183027178049	-4296463.1440359894186258	4803726.3054173905402422	-3527.6431475118915841	-4342.6350039619173913	-5284.7563520154635626
